source,productUrl,productName,category,price,currency,imageCount,variantCount,descriptionPresent,materialPresent,dimensionsPresent,weightPresent,brandPresent,skuPresent,technicalSpecsPresent,complianceDataPresent,completenessScore,extractionConfidence,status,origin
maisons-du-monde,https://www.maisonsdumonde.com/DE/de/p/viereckige-haengelampe-aus-eisen-messing-M26071932.htm,"Viereckige Hängelampe aus Eisen, Messing",,,EUR,0,0,true,false,false,false,false,false,false,false,0,0,IMPORTED,REAL_EXTRACTED
maisons-du-monde,https://www.maisonsdumonde.com/IT/it/p/lampada-a-sospensione-in-rattan-e-metallo-dorato-flavio-243060.htm,Flavio - Lampada a sospensione in rattan e metallo dorato,,,EUR,0,0,true,false,false,false,false,false,false,false,0,0,IMPORTED,REAL_EXTRACTED
lampenwelt,https://www.lampenwelt.de/c/marken/nordlux,Lampen & Leuchten von Nordlux | Lampenwelt.de,,,EUR,0,0,true,false,false,false,false,false,false,false,0,0,IMPORTED,REAL_EXTRACTED
lampenwelt,https://www.lampenwelt.de/c/marken/serien-lighting,Serien Lighting Leuchten & Lampen | Lampenwelt.de,,,EUR,0,0,true,false,false,false,false,false,false,false,0,0,IMPORTED,REAL_EXTRACTED
lampenwelt,https://www.lampenwelt.de/p/philips-superslim-led-ip44-o-24-5cm-4-000k-weiss-10013798.html,"Philips SuperSlim LED IP44 Ø 24,5cm 4.000K weiß | Lampenwelt.de",,,EUR,0,0,true,false,false,false,false,false,false,false,0,0,IMPORTED,REAL_EXTRACTED
ferm-living,https://fermliving.com/collections/portable-lamps,Portable Lamps,,,EUR,0,0,true,false,false,false,false,false,false,false,0,0,IMPORTED,REAL_EXTRACTED
ferm-living,https://fermliving.com/products/arum-portable-lamp-black,Arum Portable Lamp - Black,,,EUR,0,0,true,false,false,false,false,false,false,false,0,0,IMPORTED,REAL_EXTRACTED
ferm-living,https://fermliving.com/products/luver-portable-lamp-natural,Luver Portable Lamp - Natural,,,EUR,0,0,true,false,false,false,false,false,false,false,0,0,IMPORTED,REAL_EXTRACTED
ferm-living,https://fermliving.com/products/vuelta-portable-lamp-white,Vuelta Portable Lamp – White,,,EUR,0,0,true,false,false,false,false,false,false,false,0,0,IMPORTED,REAL_EXTRACTED
ferm-living,https://fermliving.com/blogs/stories/living-with-kids-at-home-with-fanny-nilsson,Living with Kids: At Home with Fanny Nilsson,,,EUR,0,0,true,false,false,false,false,false,false,false,0,0,IMPORTED,REAL_EXTRACTED
ferm-living,https://fermliving.com/products/arum-portable-lamp-cashmere,Arum Portable Lamp - Beige,,,EUR,0,0,true,false,false,false,false,false,false,false,0,0,IMPORTED,REAL_EXTRACTED
ferm-living,https://fermliving.com/products/frill-portable-lamp-rose-white,Frill Portable Lamp – Rose/White,,,EUR,0,0,true,false,false,false,false,false,false,false,0,0,IMPORTED,REAL_EXTRACTED
ferm-living,https://fermliving.com/products/arum-portable-lamp-tea-green,Arum Portable Lamp - Light Green,,,EUR,0,0,true,false,false,false,false,false,false,false,0,0,IMPORTED,REAL_EXTRACTED
ferm-living,https://fermliving.com/products/arum-portable-lamp-white,Arum Portable Lamp - White,,,EUR,0,0,true,false,false,false,false,false,false,false,0,0,IMPORTED,REAL_EXTRACTED
nordic-nest,https://www.nordicnest.com/brands/tradition,&Tradition Lighting & Home accessories - Shop at NordicNest.com,,,EUR,0,0,true,false,false,false,false,false,false,false,0,0,IMPORTED,REAL_EXTRACTED
unknown,https://www.google.com/m/storepages?q=kavehome.com&c=US&hl=en-US,Slatted bed bases,,,EUR,0,0,true,false,false,false,false,false,false,false,0,0,IMPORTED,REAL_EXTRACTED
cozy-garden,https://thecozygarden.com/products/y829-1399254375784423438-200-led-string-fairy-lights-hanging-starburst-lamp-diy-firework-christmas-garland-festival-decoration-remote-twinkle-lights-x250627,200 LED String Fairy Lights Hanging Starburst Lamp DIY Firework,,60.78,EUR,0,0,true,false,false,false,false,false,false,false,0,0,IMPORTED,REAL_EXTRACTED
cozy-garden,https://thecozygarden.com/products/y829-1479533167346950159-resin-parrot-statue-ornament-diy-outdoor-garden-decoration-animal-sculpture-home-living-room-office-bonsai-ornament-crafts-birds-260106,Resin Parrot Statue Ornament DIY Outdoor Garden Decoration,,60.78,EUR,0,0,true,false,false,false,false,false,false,false,0,0,IMPORTED,REAL_EXTRACTED
viridian-bay,https://viridianbay.com,Three Outdoor Lighting Ideas to Brighten up your Summer,,,EUR,0,0,true,false,false,false,false,false,false,false,0,0,IMPORTED,REAL_EXTRACTED
govee-eu,https://eu.govee.com,"Smart Lights - LED Strips, Bulbs & More",,,EUR,0,0,true,false,false,false,false,false,false,false,0,0,IMPORTED,REAL_EXTRACTED
govee-eu,https://community.govee.com,10 NEW Products RELEASED In 🇪🇺! (May & June 2023),,,EUR,0,0,true,false,false,false,false,false,false,false,0,0,IMPORTED,REAL_EXTRACTED
govee-eu,https://community.govee.com,What is the difference between a dream view and a normal,,,EUR,0,0,true,false,false,false,false,false,false,false,0,0,IMPORTED,REAL_EXTRACTED
govee-eu,https://eu.govee.com,Shedding Light on Smart Bulbs and Why You Need Them,,,EUR,0,0,true,false,false,false,false,false,false,false,0,0,IMPORTED,REAL_EXTRACTED
govee-eu,https://uk.govee.com,[Prime Day Prize] Govee Outdoor LED Dot String Lights,,,EUR,0,0,true,false,false,false,false,false,false,false,0,0,IMPORTED,REAL_EXTRACTED
nordic-nest,https://www.nordicnest.com/lighting/lamps/pendant-lamps,Pendant Lighting & Hanging Lamps - Shop at NordicNest.com,,114,EUR,0,0,true,false,false,false,false,false,false,false,0,0,IMPORTED,REAL_EXTRACTED
maisons-du-monde,https://www.maisonsdumonde.com/UK/en/inspirations/contemporary-n3f0036ef37ebc14403bdbef025b68de2c5033b1.html,Contemporary Furniture - Modern Interiors,,5.55,EUR,0,0,true,false,false,false,false,false,false,false,0,0,IMPORTED,REAL_EXTRACTED
cozy-garden,https://thecozygarden.com/products/n270-476246-12-brown-wood-indoor-outdoor-square-planter-box,"12"" Brown Wood Indoor Outdoor Square Planter Box",,,EUR,0,0,true,false,false,false,false,false,false,false,0,0,IMPORTED,REAL_EXTRACTED
cozy-garden,https://thecozygarden.com/products/y829-1350988315396714510-210pcs-bird-repeller-reflective-windmill-bird-repellent-anti-birds-windmill-spinner-child-windmill-garden-orchard-protection-250207,2/10pcs Bird Repeller Reflective Windmill Bird Repellent Anti Birds Wi,,,EUR,0,0,true,false,false,false,false,false,false,false,0,0,IMPORTED,REAL_EXTRACTED
maisons-du-monde,https://www.maisonsdumonde.com,Patina finished furniture and objects,,44,EUR,0,0,true,false,false,false,false,false,false,false,0,0,IMPORTED,REAL_EXTRACTED
cozy-garden,https://thecozygarden.com/products/d681-np11847bn-45-inch-propane-rattan-firepit-table-with-glass-stones-and-protective-cover-mixed-brown-color-brown,45 Inch Propane Rattan Firepit Table with Glass Stones and Protective,,60,EUR,0,0,true,false,false,false,false,false,false,false,0,0,IMPORTED,REAL_EXTRACTED
lampenwelt,https://www.lampenwelt.de/p/led-wandleuchte-cover-schwarz-ausladung-30-cm-metall-10054517.html,"LED-Wandleuchte COVER, schwarz, Ausladung 30 cm, Metall",,,EUR,0,0,true,false,false,false,false,false,false,false,0,0,IMPORTED,REAL_EXTRACTED
lampenwelt,https://www.lampenwelt.de/p/pr-home-wandleuchte-emmi-messingfarben-antik-o-12-cm-10024570.html,"PR Home Wandleuchte Emmi, messingfarben antik, Ø 12 cm",,,EUR,0,0,true,false,false,false,false,false,false,false,0,0,IMPORTED,REAL_EXTRACTED
lampenwelt,https://www.lampenwelt.de,"Tom Dixon LED-Kronleuchter Melt Chandelier, goldfarben",,,EUR,0,0,true,false,false,false,false,false,false,false,0,0,IMPORTED,REAL_EXTRACTED
ferm-living,https://fermliving.com/products/ripple-portable-lamp-white,Ripple Portable Lamp - White,,,EUR,0,0,true,false,false,false,false,false,false,false,0,0,IMPORTED,REAL_EXTRACTED
nordic-nest,https://www.nordicnest.com/brands/belid/capo-pendant-lamp-o30-cm,Capo pendant lamp Ø30 cm from Belid - NordicNest.com,,,EUR,0,0,true,false,false,false,false,false,false,false,0,0,IMPORTED,REAL_EXTRACTED
cozy-garden,https://thecozygarden.com/products/d681-op70369-42-inch-60000-btu-propane-fire-pit-table-with-ceramic-tabletop-color-black,42 Inch 60000 BTU Propane Fire Pit Table with Ceramic Tabletop,,60.78,EUR,0,0,true,false,false,false,false,false,false,false,0,0,IMPORTED,REAL_EXTRACTED
kave-home,https://au.kavehome.com,Llonga set of 2 terracotta planters with natural finish Ø 54 /,,759,EUR,0,0,true,false,false,false,false,false,false,false,0,0,IMPORTED,REAL_EXTRACTED
kave-home,https://kavehome.com,Rotja set of 3 terracotta planters with glazed blue finish Ø,,,EUR,0,0,true,false,false,false,false,false,false,false,0,0,IMPORTED,REAL_EXTRACTED
kave-home,https://kavehome.com,Analy stool with backrest in solid oak wood with walnut,,,EUR,0,0,true,false,false,false,false,false,false,false,0,0,IMPORTED,REAL_EXTRACTED
maisons-du-monde,https://store.maisonsdumonde.com,Maisons du Monde - Marbella Málaga,,,EUR,0,0,true,false,false,false,false,false,false,false,0,0,IMPORTED,REAL_EXTRACTED
maisons-du-monde,https://www.maisonsdumonde.com/PT/pt/p/suspensao-nao-eletrificada-em-vime-d60-miley-189334.htm,Miley - Suspensão não eletrificada em vime D60,,,EUR,0,0,true,false,false,false,false,false,false,false,0,0,IMPORTED,REAL_EXTRACTED
maisons-du-monde,https://www.maisonsdumonde.com/PT/pt/p/candeeiro-de-chao-em-rattan-trancado-e-aco-preto-191-cm-de-altura-wild-165316.htm,"Candeeiro de chão em rattan trançado e aço preto, 191 cm de altura.",,,EUR,0,0,true,false,false,false,false,false,false,false,0,0,IMPORTED,REAL_EXTRACTED
maisons-du-monde,https://www.maisonsdumonde.com/DE/de/p/pendelleuchte-aus-rattan-in-braun-50x50x50cm-matcha-whisk-M26002415.htm,"Matcha whisk - Pendelleuchte aus rattan in braun, 50x50x50cm",,,EUR,0,0,true,false,false,false,false,false,false,false,0,0,IMPORTED,REAL_EXTRACTED
lampenwelt,https://www.lampenwelt.de/p/audo-tr-bulb-suspended-wandleuchte-stecker-grau-weiss-10041977.html,"Audo TR Bulb Suspended Wandleuchte, Stecker, grau/weiß",,,EUR,0,0,true,false,false,false,false,false,false,false,0,0,IMPORTED,REAL_EXTRACTED
luxent,https://luxent.com,About Luxent: A Senior NetSuite Consulting Team,,,EUR,0,0,true,false,false,false,false,false,false,false,0,0,IMPORTED,REAL_EXTRACTED
maisons-du-monde,https://www.maisonsdumonde.com/UK/en/inspirations/seaside-n071ac168e0a57e039d5145a25118266843a42d5.html,Furniture & home accessories - Seaside,,15.15,EUR,0,0,true,false,false,false,false,false,false,false,0,0,IMPORTED,REAL_EXTRACTED
cozy-garden,https://thecozygarden.com/products/y829-1399435832336015360-1pc-colorful-stone-tree-of-life-crystal-glass-pendant-outdoor-garden-light-and-sun-catcher-decorative-crafts-x2506271,1pc Colorful Stone Tree Of Life Crystal Glass Pendant Outdoor,,,EUR,0,0,true,false,false,false,false,false,false,false,0,0,IMPORTED,REAL_EXTRACTED
unknown,https://www.google.com/m/storepages?q=kavehome.com&c=US&hl=en-US,Outdoor Decor,,699,EUR,0,0,true,false,false,false,false,false,false,false,0,0,IMPORTED,REAL_EXTRACTED
nordic-nest,https://www.nordicnest.com,Ceramic plant pots - Buy Scandinavian Design →,,,EUR,0,0,true,false,false,false,false,false,false,false,0,0,IMPORTED,REAL_EXTRACTED
maisons-du-monde,https://corporate.maisonsdumonde.com,BRITISH COTTAGE INSPIRATION,,,EUR,0,0,true,false,false,false,false,false,false,false,0,0,IMPORTED,REAL_EXTRACTED
maisons-du-monde,https://www.maisonsdumonde.com,Vases en rotin : Décorez avec élégance et authenticité,,,EUR,0,0,true,false,false,false,false,false,false,false,0,0,IMPORTED,REAL_EXTRACTED
ferm-living,https://fermliving.com,Dedali Vase – Large – Off-White,,,EUR,0,0,true,false,false,false,false,false,false,false,0,0,IMPORTED,REAL_EXTRACTED
cozy-garden,https://thecozygarden.com/products/q280-gwrbh3150692871-outdoor-red-wood-and-metal-barn-style-hanging-bird-house,Outdoor Red Wood and Metal Barn Style Hanging Bird House,For The Birds,85.04,USD,8,1,true,true,false,false,true,true,false,false,68,88,IMPORTED,REAL_EXTRACTED
wall-panel-centre,https://thewallpanelcentre.co.uk/products/white-hygienic-cladding-starter-trim,White Hygienic Cladding Starter Trim,Homepage > Back,5.4,GBP,1,2,true,false,false,false,true,true,false,false,70,100,NORMALIZED,REAL_EXTRACTED
wall-panel-centre,https://thewallpanelcentre.co.uk/products/pastel-grey-straight-joint-trim-for-hygienic-wall-cladding,Pastel Grey Straight Joint Trim for Hygienic Wall Cladding,Homepage > Back,6.6,GBP,1,1,true,false,false,false,true,true,false,false,64,100,NORMALIZED,REAL_EXTRACTED
wall-panel-centre,https://thewallpanelcentre.co.uk/products/pastel-grey-internal-corner-joint-for-hygienic-wall-cladding,Pastel Grey Internal Corner Joint for Hygienic Wall Cladding,Homepage > Back,6.6,GBP,1,1,true,false,false,false,true,true,false,false,70,100,NORMALIZED,REAL_EXTRACTED
wall-panel-centre,https://thewallpanelcentre.co.uk/products/pastel-grey-hygienic-wall-cladding-pastel-colour,Pastel Grey Hygienic Wall Cladding Pastel Colour,Homepage > Back,67.9,GBP,1,2,true,true,false,false,true,true,false,true,70,100,DUPLICATE,REAL_EXTRACTED
viridian-bay,https://viridianbay.com/products/elefante-garden-seat,Elefante Garden Seat,Outdoor Seating,385,USD,3,1,true,true,false,false,true,true,false,true,71,100,NORMALIZED,REAL_EXTRACTED
ferm-living,https://fermliving.com/products/nova-pinboard-light-celedon,Nova Pinboard - Light Celedon,Home > Nova Pinboard - Light Celedon,199.2,EUR,2,3,true,true,false,false,true,true,false,true,64,88,IMPORTED,REAL_EXTRACTED
ferm-living,https://fermliving.com/products/nova-storage-box-light-celedon,Nova Storage Box - Light Celedon,Home > Nova Storage Box - Light Celedon,23.2,EUR,2,5,true,true,false,false,true,true,false,true,64,88,IMPORTED,REAL_EXTRACTED
viridian-bay,https://viridianbay.com/products/girasole-planter-trellis,Girasole Planter Trellis,Plant Cages & Supports,75,USD,7,1,true,true,false,false,true,true,false,true,76,88,IMPORTED,REAL_EXTRACTED
wall-panel-centre,https://thewallpanelcentre.co.uk/products/pastel-mint-colour-match-silicone-310ml-tube,Pastel Mint Colour Match Silicone 310ml Tube,Homepage > Back,29.9,GBP,0,1,true,true,false,false,true,true,false,false,61,100,NORMALIZED,REAL_EXTRACTED
lampenwelt,https://lampenwelt.de/p/audo-led-pendellampe-tr-bulb-schwarz-opal-matt-glas-e27-6731021.html,"Audo LED-Pendellampe TR Bulb, schwarz/opal matt, Glas, E27",Lampen & Leuchten > Innenleuchten > Pendelleuchten & Hängelampen,244.99,EUR,12,0,true,true,true,false,true,true,true,false,79,88,NORMALIZED,REAL_EXTRACTED
viridian-bay,https://viridianbay.com/products/seafoam-cascade-garden-stool,Teal Cascade Garden Stool,Outdoor Chairs,599,USD,3,1,true,true,false,false,true,true,false,true,76,100,NORMALIZED,REAL_EXTRACTED
wall-panel-centre,https://thewallpanelcentre.co.uk/products/pastel-mint-starter-trim-for-hygienic-wall-cladding,Pastel Mint Starter Trim for Hygienic Wall Cladding,Homepage > Back,6.6,GBP,1,1,true,false,false,false,true,true,false,false,64,100,NORMALIZED,REAL_EXTRACTED
ferm-living,https://fermliving.com/products/ori-candle-holder-dark-stained-beech,Ori Candle Holder - Dark Stained Beech,Home > Ori Candle Holder - Dark Stained Beech,55.2,EUR,2,1,true,false,false,false,true,true,false,true,65,88,IMPORTED,REAL_EXTRACTED
viridian-bay,https://viridianbay.com/products/brindille-tealight-candelabra,Brindille Tealight Candelabra,Candle Holders,80,USD,5,1,true,true,false,false,true,true,false,true,65,100,NORMALIZED,REAL_EXTRACTED
cozy-garden,https://thecozygarden.com/products/a949-316391-trellis-planter-with-arch-193x154x461-firwood,"Trellis Planter with Arch 19.3""x15.4""x46.1"" Firwood",Gardening,87.79,USD,12,1,true,true,false,false,true,true,false,true,74,88,NORMALIZED,REAL_EXTRACTED
wall-panel-centre,https://thewallpanelcentre.co.uk/products/pastel-clay-external-corner-joint-for-hygienic-wall-cladding,Pastel Clay External Corner Joint for Hygienic Wall Cladding,Homepage > Back,6.6,GBP,1,1,true,true,false,false,true,true,false,false,70,100,NORMALIZED,REAL_EXTRACTED
viridian-bay,https://viridianbay.com/products/palazzo-lantern,Palazzo Lantern,Home & Garden,205,USD,7,4,true,true,false,false,true,true,false,true,76,88,IMPORTED,REAL_EXTRACTED
wall-panel-centre,https://thewallpanelcentre.co.uk/products/pastel-green-internal-corner-joint-for-hygienic-wall-cladding,Pastel Willow Green Internal Corner Joint for Hygienic Wall Cladding,Homepage > Back,6.6,GBP,1,1,true,false,false,false,true,true,false,false,70,100,NORMALIZED,REAL_EXTRACTED
cozy-garden,https://thecozygarden.com/products/e415-peltlthktz6j1y3e6001v0-6-piece-outdoor-patio-furniture-set-wicker-rattan-outdoor-sectional-conversation-set-with-50000btu-propane-fire-pit-table-cushioned-sofas-coffee-table-ottoman-for-patio-garden-backyard,"6-Piece Outdoor Patio Furniture Set, Wicker Rattan Outdoor Sectional Conversation Set with 50000BTU Propane Fire Pit Table, Cushioned Sofas, Coffee Table & Ottoman for Patio Garden Backyard",Outdoor Lounge Furniture,868.65,USD,22,1,true,true,false,false,true,true,false,false,74,88,IMPORTED,REAL_EXTRACTED
ferm-living,https://fermliving.com/products/twill-bolster-cushion-cashmere-black,Twill Bolster Cushion - Cashmere/Black,Home > Twill Bolster Cushion - Cashmere/Black,76,EUR,2,3,true,true,false,false,true,true,false,true,70,88,IMPORTED,REAL_EXTRACTED
lampenwelt,https://lampenwelt.de/p/tom-dixon-mirror-ball-floor-chandelier-goldfarben-182-cm-10042136.html,"Tom Dixon Mirror Ball Floor Chandelier, goldfarben, 182 cm",Lampen & Leuchten > Innenleuchten > Stehlampen,5485.9,EUR,16,0,true,true,true,false,true,true,true,false,65,100,NORMALIZED,REAL_EXTRACTED
wall-panel-centre,https://thewallpanelcentre.co.uk/products/pastel-green-hygienic-wall-cladding-pastel-colour,Pastel Willow Green Hygienic Wall Cladding PVC Sheet,Homepage > Back,67.9,GBP,1,2,true,true,false,false,true,true,false,true,70,100,DUPLICATE,REAL_EXTRACTED
